json_size json_time json_classic_size json_classic_time json_scannerless_size json_scannerless_time json_unbounded_size json_unbounded_time json_unbounded_scannerless_size json_unbounded_scannerless_time pascal_size pascal_time pascal_classic_size pascal_classic_time pascal_scannerless_size pascal_scannerless_time pascal_unbounded_size pascal_unbounded_time pascal_unbounded_scannerless_size pascal_unbounded_scannerless_time c_size c_time c_classic_size c_classic_time c_scannerless_size c_scannerless_time c_unbounded_size c_unbounded_time c_unbounded_scannerless_size c_unbounded_scannerless_time fortran_size fortran_time fortran_classic_size fortran_classic_time fortran_scannerless_size fortran_scannerless_time fortran_unbounded_size fortran_unbounded_time fortran_unbounded_scannerless_size fortran_unbounded_scannerless_time cobol_size cobol_time cobol_classic_size cobol_classic_time cobol_scannerless_size cobol_scannerless_time cobol_unbounded_size cobol_unbounded_time cobol_unbounded_scannerless_size cobol_unbounded_scannerless_time
101.065 0.2312251 101.065 0.0650399 101.065 1.1137285000000001 101.065 0.23164639999999997 101.065 0.6025991 100.446 1.1747068 100.446 0.7062528 100.446 2.1412731999999997 100.446 0.9911319000000001 100.446 1.4434557 100.116 1.1361936 100.116 0.5136236000000001 100.116 2.1838363999999997 100.116 1.102279 100.116 1.3973731 101.093 1.4217045000000001 101.093 0.7988684 101.093 2.4888225 101.093 1.3786937 101.093 1.5336191 100.297 1.0065756000000001 100.297 0.3646893 100.297 2.6577591 100.297 1.0209021 100.297 1.7264047999999999
110.216 0.2397898 110.216 0.0669138 110.216 1.2031975 110.216 0.2569322 110.216 0.6474813 110.743 1.2346313 110.743 0.7439826 110.743 2.2932101 110.743 1.0627518 110.743 1.5382067 110.744 1.238356 110.744 0.5710001 110.744 2.5690333 110.744 1.2009995 110.744 1.5561298000000001 110.382 1.5789883 110.382 0.8876082000000001 110.382 2.7536517 110.382 1.5337343 110.382 1.7073301 110.136 1.2473648000000002 110.136 0.4469628 110.136 3.1327261 110.136 31.984948600000003 110.136 2.208662
120.5 0.26230790000000004 120.5 0.0786978 120.5 1.3791333 120.5 0.2800665 120.5 0.743847 120.659 1.3341676 120.659 0.8099893 120.659 2.4804366 120.659 1.1519085 120.659 1.7604724999999999 120.195 1.3780506 120.195 0.6285540000000001 120.195 2.7677443 120.195 1.3278349999999999 120.195 1.6930762000000001 120.974 1.7100072000000002 120.974 0.9579926999999999 120.974 3.1232569999999997 120.974 1.6624656999999998 120.974 1.8543574 120.589 1.6622636 120.589 0.5835665 120.589 9.8928129 140.673 1.3521269 120.589 9.2505563
130.233 0.3081307 130.233 0.0855924 130.233 1.4693134 130.233 0.3060687 130.233 0.7983886 130.39 1.4500103 130.39 0.8782249999999999 130.39 2.6826111 130.39 2.1144821 130.39 1.8927944 130.359 1.4746903 130.359 0.6720482999999999 130.359 2.957597 130.359 1.425688 130.359 1.8260712000000001 130.771 1.8719605000000001 130.771 1.0461833 130.771 3.5355204000000002 130.771 1.8070461999999998 130.771 2.013381 130.803 1.7001205 130.803 0.5971474999999999 130.803 4.0516478 160.873 31.8086168 130.803 3.1151377
140.826 0.318324 140.826 0.0892719 140.826 1.5878493 140.826 0.32035779999999997 140.826 0.847348 140.237 1.575353 140.237 1.0140113 140.237 3.05417 150.571 1.5557736 140.237 2.0573914 140.769 1.6302564 140.769 0.7417062999999999 140.769 3.2304132 140.769 1.5729556 140.769 2.1158127999999996 140.259 1.9803891 140.259 1.1062642 140.259 3.6615640999999997 140.259 1.9238157 140.259 2.1380345000000003 140.673 1.2671828 140.673 0.4457688 140.673 3.6809055 170.282 12.1655709 140.673 2.1424913
150.214 0.3325706 150.214 0.0926706 150.214 1.6726576000000002 150.214 0.3343277 150.214 0.9034091999999999 150.571 1.7358628 150.571 1.1144529 150.571 3.2930033 160.617 1.6658201 150.571 2.2213401 151.142 1.7383496999999999 151.142 0.7946359000000001 151.142 3.4511705 151.142 1.8125253999999997 151.142 2.2581656 150.71 2.1722609999999998 150.71 1.2239131 150.71 3.970046 150.71 2.0988319 150.71 2.3517647 150.878 2.1429301 150.878 0.786933 150.878 53.978974900000004 180.478 20.3548925 150.878 52.3322771
161.117 0.3559316 161.117 0.098635 161.117 1.8035226000000002 161.117 0.35358100000000003 161.117 0.9601491 160.617 1.9820188 160.617 1.1965253 160.617 3.5123299 170.826 1.8077367 160.617 2.3818957000000003 161.088 1.8399743999999998 161.088 0.8446338000000001 161.088 3.8674753 161.088 1.906393 161.088 2.3863459 161.126 2.3326975 161.126 1.306973 161.126 4.3763176 161.126 2.2587119 161.126 2.5165315 160.873 1.5773593 160.873 0.5457041 160.873 4.313105 201.04 19.8798782 160.873 2.6924254999999997
170.175 0.373427 170.175 0.10473049999999999 170.175 1.8707512999999998 170.175 0.4045755 170.175 1.0231461 170.826 2.0199863000000002 170.826 1.2134846 170.826 3.6307359 180.519 3.4586233999999996 170.826 2.451688 170.736 1.9195157000000003 170.736 0.8923085000000001 170.736 4.0581673 170.736 1.9993036 170.736 2.516668 170.324 2.4662769 170.324 1.3902856 170.324 4.6528715 170.324 2.3958671 170.324 2.8351655 170.282 1.770216 170.282 0.599141 170.282 4.5964202 211.055 10.5674594 170.282 3.0729502
180.382 0.4306145 180.382 0.12112110000000001 180.382 2.0808050000000002 180.382 0.4301562 180.382 1.1339181999999999 180.519 2.1140134 180.519 1.2848876 180.519 3.8426799000000003 190.568 2.0386008 180.519 2.7280407 181.125 2.0648366 181.125 0.9412469 181.125 4.3242862 181.125 2.1352523 181.125 2.6483061 181.055 2.6176137 181.055 1.4706174 181.055 5.0426786 181.055 2.5438313999999997 181.055 2.9870077 180.478 1.9894752 180.478 0.6702803 180.478 5.1569772 220.599 41.549406899999994 180.478 3.6303176
190.432 0.43849669999999996 190.432 0.12280139999999999 190.432 2.1726263 190.432 0.4355968 190.432 1.17514 190.568 2.2498145000000003 190.568 1.3724871 190.568 4.064477699999999 200.435 2.1195971 190.568 2.8768846 190.21 2.3645604 190.21 0.9960812000000001 190.21 4.4886891 190.21 2.2568621 190.21 2.7816305 191.027 2.7834809 191.027 1.5565773 191.027 5.2660069 191.027 2.6979085 191.027 3.1539106 190.95 2.0146968000000003 190.95 0.6854706 190.95 6.7610729 240.75 11.3704958 190.95 4.7299295
